Seller,Buyer,Item Number,Transaction ID,Item Quantity,Total Price,Guild Name,Item Name,Item Level,Quality,Type,Trait,Type2
@cyoadventure,@CplBinky,114695,1706228132,1,9000g,akuma,Sword of Syvarra's Scales,cp160,Superior,one-handed,precise,
@Xennlee,@TheEnigma23,147467,1711433502,1,95000g,akuma,,Unknown,Unknown,Cadwell's,,\
@SithKnights,@Maple653,147467,1707245432,1,54000g,akuma,,Unknown,Unknown,Cadwell's,,\
@SparrowX9,@Yukanuntiusel,180236,1705465543,1,3200g,akuma,Hexos' Ward Guards,cp160,Superior,legs,sturdy,
@vereesh,@Uugg9,147470,1711973666,1,19000g,akuma,,Unknown,Unknown,Cadwell's,,\
@Dodoco_ONE,@savant325,114703,1708981585,1,5555g,akuma,Lightning Staff of Syvarra's Scales,cp160,Superior,two-handed,precise,
@iago.leo,@Bleztor,98327,1704816751,1,1186g,akuma,Beekeeper's Ring,cp160,Fine,ring,healthy,
@Kooish,@Vazenmohen,114712,1708293782,1,1500g,akuma,Belt of Syvarra's Scales,cp160,Epic,waist,well-fitted,
@teeje,@AbsurdAubree,180252,1706489712,1,2174g,akuma,Hexos' Ward Jack,cp160,Fine,chest,training,
@Satar1,@LixTetrax,114717,1711202907,1,10000g,akuma,Maul of Syvarra's Scales,cp160,Epic,two-handed,defending,
@Diamondchinchin,@egl215,147492,1710714442,1,350g,akuma,Guar Stomp Elucidating Hand-Scultpure,1,Epic,consumable,,trophy
@Argorious,@Anaariel,114726,1708599249,1,2000g,akuma,Jack of Syvarra's Scales,cp160,Superior,chest,reinforced,
@mossutahraptor,@Sorschae,98344,1707711502,1,150g,akuma,Beekeeper's Gauntlets,cp160,Fine,hands,infused,
@YatsokDreik,@TheDarkestEvil,16425,1706288309,1,3000g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@tabicatastrophe,@Sethryn_Indaren,16425,1708282110,1,600g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@HawtChet,@nobleboivin,16425,1708701721,1,2000g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@albai06,@DemonicdeathXXX,16425,1709488323,1,343g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@HawtChet,@DemonicdeathXXX,16425,1709488324,1,1000g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@HawtChet,@DemonicdeathXXX,16425,1709488324,1,1000g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@albai06,@DemonicdeathXXX,16425,1709488323,1,343g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@Bennymac13,@AKLonewolf,16425,1710924030,1,500g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@pumbz,@Shelled01,16425,1711316241,1,200g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@treasure-map,@Emathides,16425,1704576814,1,50g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@TruthAndLies,@Jack.Fyre,16425,1705285172,1,100g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@TruthAndLies,@Jack.Fyre,16425,1705285174,1,100g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@TruthAndLies,@JackTrooper5,16425,1705459288,1,100g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@TruthAndLies,@afusro,16425,1705530814,1,100g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@juiceboxheroes,@DeadveilProject,16425,1705605490,1,200g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@willge104,@MemmRott,16425,1705923598,1,200g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@Bastet's_Shadow,@ferretvonweasel,16425,1706045021,1,200g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@willge104,@Zolzaya_Khan,16425,1706046996,1,250g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@HawtChet,@The_Bxtcheress,16425,1706175756,1,1000g,akuma,Crafting Motif 5: Breton Style,1,Superior,consumable,,motif
@Diamondchinchin,@VinceSince02,147498,1710752053,1,350g,akuma,Guar Stomp Skeletal Reconstruction,1,Epic,consumable,,trophy
